ID	SMILES	InChI	InChIKey
PMX-290	C1=CC=C(C=C1)S(=O)(=O)N2C(=CC3=C2C=C(C=C3)F)C4(C=CC(=O)C=C4)O	InChI=1S/C20H14FNO4S/c21-15-7-6-14-12-19(20(24)10-8-16(23)9-11-20)22(18(14)13-15)27(25,26)17-4-2-1-3-5-17/h1-13,24H	NUKLBNRXGJLHIA-UHFFFAOYSA-N
pyrrocidine A	C[C@@H]1C[C@@H]([C@H]2[C@@H]3[C@@H]4[C@H]([C@@H](C=C([C@@H]4[C@@]2(C1)C)C)C=C)C(=O)C5=C[C@](CC6=CC=C(O3)C=C6)(NC5=O)O)C	InChI=1S/C31H37NO4/c1-6-20-12-18(4)25-24-23(20)27(33)22-15-31(35,32-29(22)34)14-19-7-9-21(10-8-19)36-28(24)26-17(3)11-16(2)13-30(25,26)5/h6-10,12,15-17,20,23-26,28,35H,1,11,13-14H2,2-5H3,(H,32,34)/t16-,17+,20-,23+,24-,25+,26+,28+,30+,31-/m1/s1	KXMGXXHZDLJDBH-UHLMFRFDSA-N
pubescenoside	C=C(COC(=O)/C=C/C1=CC(=C(C=C1)O)O)C(CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O	InChI=1S/C20H26O11/c1-10(8-29-16(25)5-3-11-2-4-12(22)13(23)6-11)14(24)9-30-20-19(28)18(27)17(26)15(7-21)31-20/h2-6,14-15,17-24,26-28H,1,7-9H2/b5-3+/t14-,15+,17+,18-,19+,20+/m0/s1	WTKXHULOWFHFAA-ODZQVJLHSA-N
eupalinilide B	C/C(=C\CO)/C(=O)O[C@@H]1CC(=C)[C@@H]2C=C[C@@]([C@@H]2[C@@H]3[C@@H]1C(=C)C(=O)O3)(C)O	InChI=1S/C20H24O6/c1-10(6-8-21)18(22)25-14-9-11(2)13-5-7-20(4,24)16(13)17-15(14)12(3)19(23)26-17/h5-7,13-17,21,24H,2-3,8-9H2,1,4H3/b10-6+/t13-,14+,15+,16-,17-,20+/m0/s1	HCGYMFPNEDDKQY-LSOVPSQHSA-N
bromovulone	CCCCC/C=C\C[C@]\1(C=C(C(=O)/C1=C/C=C/CCCC(=O)OC)Br)O	InChI=1S/C21H29BrO4/c1-3-4-5-6-9-12-15-21(25)16-18(22)20(24)17(21)13-10-7-8-11-14-19(23)26-2/h7,9-10,12-13,16,25H,3-6,8,11,14-15H2,1-2H3/b10-7+,12-9-,17-13-/t21-/m1/s1	SEUGRXZAXYVQIH-WSLYZSCVSA-N
ottelion A	COC1=C(C=C(C=C1)C[C@H]2C[C@H]([C@H]3[C@@H]2C(=O)C=CC3=C)C=C)O	InChI=1S/C20H22O3/c1-4-14-11-15(20-16(21)7-5-12(2)19(14)20)9-13-6-8-18(23-3)17(22)10-13/h4-8,10,14-15,19-20,22H,1-2,9,11H2,3H3/t14-,15+,19+,20+/m1/s1	ODHHTIYRUDURPW-QBTDHISASA-N
phoslactomycin	CC[C@H]1C=CC(=O)O[C@H]1/C=C/[C@](CCN)([C@@H](C[C@H](/C=C\C=C/C2CCCCC2)O)OP(=O)(O)O)O	InChI=1S/C25H40NO8P/c1-2-20-12-13-24(28)33-22(20)14-15-25(29,16-17-26)23(34-35(30,31)32)18-21(27)11-7-6-10-19-8-4-3-5-9-19/h6-7,10-15,19-23,27,29H,2-5,8-9,16-18,26H2,1H3,(H2,30,31,32)/b10-6-,11-7-,15-14+/t20-,21-,22-,23+,25-/m0/s1	GAIPQMSJLNWRGC-MZAVDHTQSA-N
avrainvillamide 	CC1(C=CC2=C(O1)C=CC3=C2[N+](=C4C3=C[C@]56[C@H](C4(C)C)C[C@@]7(CCCN7C5=O)C(=O)N6)[O-])C	InChI=1S/C26H27N3O4/c1-23(2)10-8-15-17(33-23)7-6-14-16-12-26-18(24(3,4)20(16)29(32)19(14)15)13-25(21(30)27-26)9-5-11-28(25)22(26)31/h6-8,10,12,18H,5,9,11,13H2,1-4H3,(H,27,30)/t18-,25-,26-/m0/s1	ALXLLOQTGLPCFG-ATANMQQVSA-N
Duocarmycin A	C[C@@]1(C(=O)C2=C(N1)C(=O)C=C3[C@@]24C[C@@H]4CN3C(=O)C5=CC6=CC(=C(C(=C6N5)OC)OC)OC)C(=O)OC	InChI=1S/C26H25N3O8/c1-25(24(33)37-5)22(31)17-19(28-25)14(30)8-16-26(17)9-12(26)10-29(16)23(32)13-6-11-7-15(34-2)20(35-3)21(36-4)18(11)27-13/h6-8,12,27-28H,9-10H2,1-5H3/t12-,25-,26+/m1/s1	AZVARJHZBXHUSO-DZQVEHCYSA-N
nimbolide	CC1=C2[C@@H](C[C@H]1C3=COC=C3)O[C@H]4[C@@]2([C@@H]([C@@]5([C@H]6[C@H]4OC(=O)[C@@]6(C=CC5=O)C)C)CC(=O)OC)C	InChI=1S/C27H30O7/c1-13-15(14-7-9-32-12-14)10-16-20(13)27(4)17(11-19(29)31-5)26(3)18(28)6-8-25(2)22(26)21(23(27)33-16)34-24(25)30/h6-9,12,15-17,21-23H,10-11H2,1-5H3/t15-,16-,17-,21-,22+,23-,25-,26+,27-/m1/s1	JZIQWNPPBKFOPT-LSYMHUITSA-N
adenanthin	CC(=O)O[C@H]1C[C@@H]2C[C@]3([C@@H]1[C@@]4([C@H](C[C@@H](C([C@H]4C(=O)[C@@H]3OC(=O)C)(C)C)O)OC(=O)C)C)C(=O)C2=C	InChI=1S/C26H34O9/c1-11-15-8-16(33-12(2)27)20-25(7)18(34-13(3)28)9-17(30)24(5,6)21(25)19(31)23(35-14(4)29)26(20,10-15)22(11)32/h15-18,20-21,23,30H,1,8-10H2,2-7H3/t15-,16+,17+,18+,20+,21-,23+,25+,26+/m1/s1	WQVYSFSBBFDGRG-FYHXSELJSA-N
DDO-6600	CC1=C(C=C(C=C1)C2=NN(C=C2/C=C/C(=O)N3CCCCC3C(=O)N)C4=CC=CC=C4)C	InChI=1S/C26H28N4O2/c1-18-11-12-20(16-19(18)2)25-21(17-30(28-25)22-8-4-3-5-9-22)13-14-24(31)29-15-7-6-10-23(29)26(27)32/h3-5,8-9,11-14,16-17,23H,6-7,10,15H2,1-2H3,(H2,27,32)/b14-13+/t23-/m0/s1	SKDKPKFZKHHGCG-ZVQQDINOSA-N
bis-salicyl fumarate	C1=CC=C(C(=C1)C(=O)O)OC(=O)/C=C/C(=O)OC2=CC=CC=C2C(=O)O	InChI=1S/C18H12O8/c19-15(25-13-7-3-1-5-11(13)17(21)22)9-10-16(20)26-14-8-4-2-6-12(14)18(23)24/h1-10H,(H,21,22)(H,23,24)/b10-9+	DMCJLRGWPYVYCQ-MDZDMXLPSA-N
petrosaspongiolide M	CC(=O)O[C@H]1[C@H]2CC[C@@H]3[C@]4(CCCC([C@@H]4CC[C@]3([C@@H]2C[C@@H](O1)C5=CC(=O)OC5O)C)(C)C)C	InChI=1S/C27H40O6/c1-15(28)31-24-16-7-8-21-26(4,12-9-20-25(2,3)10-6-11-27(20,21)5)18(16)14-19(32-24)17-13-22(29)33-23(17)30/h13,16,18-21,23-24,30H,6-12,14H2,1-5H3/t16-,18+,19+,20-,21-,23+,24+,26-,27-/m0/s1	RVWQZLJUVIFAOY-NTHZZVOVSA-N
ainsliadimer A	C=C1CC[C@@H]2[C@@H]([C@@H]3[C@H]1CC(=O)[C@]34CC[C@]5([C@@]4(C[C@@H]6[C@H]5[C@@H]7[C@@H](CCC6=C)C(=C)C(=O)O7)O)O)OC(=O)C2=C	InChI=1S/C30H34O7/c1-13-5-7-17-15(3)26(32)36-24(17)22-19(13)11-21(31)28(22)9-10-29(34)23-20(12-30(28,29)35)14(2)6-8-18-16(4)27(33)37-25(18)23/h17-20,22-25,34-35H,1-12H2/t17-,18-,19-,20-,22-,23-,24-,25-,28+,29-,30-/m0/s1	QYIHABZOQGFHJO-RLKQMHIPSA-N
8-iso-prostaglandin A2	CCCCC[C@@H](/C=C/[C@H]1C=CC(=O)[C@H]1C/C=C\CCCC(=O)O)O	InChI=1S/C20H30O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h4,7,12-18,21H,2-3,5-6,8-11H2,1H3,(H,23,24)/b7-4-,14-12+/t16-,17-,18-/m0/s1	MYHXHCUNDDAEOZ-UKUWKSPLSA-N
syringolin A	CC(C)[C@H]1/C=C/C(=O)NCC/C=C/[C@@H](C(=O)N1)NC(=O)[C@H](C(C)C)NC(=O)N[C@@H](C(C)C)C(=O)O	InChI=1S/C24H39N5O6/c1-13(2)16-10-11-18(30)25-12-8-7-9-17(21(31)26-16)27-22(32)19(14(3)4)28-24(35)29-20(15(5)6)23(33)34/h7,9-11,13-17,19-20H,8,12H2,1-6H3,(H,25,30)(H,26,31)(H,27,32)(H,33,34)(H2,28,29,35)/b9-7+,11-10+/t16-,17+,19+,20+/m1/s1	RUWSLQOIGKYPEZ-YPXRAQKDSA-N
supercinnamaldehyde alkyne	CC(=O)/C=C/1\C2=CC=CC=C2N(C1=O)CC#C	InChI=1S/C14H11NO2/c1-3-8-15-13-7-5-4-6-11(13)12(14(15)17)9-10(2)16/h1,4-7,9H,8H2,2H3/b12-9+	HYUGHPDIXXDVLK-FMIVXFBMSA-N
Myrtucommulone	CC(C)[C@H](C1=C(C(=C(C(=C1O)C(=O)C(C)C)O)[C@H](C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O	InChI=1S/C38H52O10/c1-15(2)18(22-29(43)35(7,8)33(47)36(9,10)30(22)44)20-26(40)21(28(42)24(27(20)41)25(39)17(5)6)19(16(3)4)23-31(45)37(11,12)34(48)38(13,14)32(23)46/h15-19,40-43,45H,1-14H3/t18-,19-/m1/s1	BIHONVMOJSPPFL-RTBURBONSA-N
MCE-5	CC1(CC(C(=O)C(=C1)C#N)(C)C)C	InChI=1S/C11H15NO/c1-10(2)5-8(6-12)9(13)11(3,4)7-10/h5H,7H2,1-4H3	OPVKLTMZDZDAND-UHFFFAOYSA-N
yejunualactone	CC1=CC[C@@H]2[C@H]1[C@@H]3[C@@H]([C@H](C[C@@]2(C)O)OC(=O)C)[C@]4(C[C@@]56C=C[C@@]4([C@H]5[C@H]7[C@@H](CC[C@@]6(C)O)C(=C)C(=O)O7)C)C(=O)O3	InChI=1S/C32H40O8/c1-15-7-8-19-21(15)24-22(20(38-17(3)33)13-29(19,5)36)32(27(35)40-24)14-31-12-11-28(32,4)25(31)23-18(9-10-30(31,6)37)16(2)26(34)39-23/h7,11-12,18-25,36-37H,2,8-10,13-14H2,1,3-6H3/t18-,19+,20-,21-,22+,23+,24+,25+,28+,29+,30+,31-,32+/m0/s1	SZQWAXGDCUONOB-RJRCOPBWSA-N
Atuzabrutinib	CC(C)(C)/C=C(\C#N)/C(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=C(C=C(C=C4)OC5=CC=CC=C5)F)N	InChI=1S/C30H30FN7O2/c1-30(2,3)15-19(16-32)29(39)37-13-7-8-20(17-37)38-28-25(27(33)34-18-35-28)26(36-38)23-12-11-22(14-24(23)31)40-21-9-5-4-6-10-21/h4-6,9-12,14-15,18,20H,7-8,13,17H2,1-3H3,(H2,33,34,35)/b19-15+/t20-/m1/s1	KZMQPYCXSAGLTB-ZWUNQBBJSA-N
Acetylbritannilactone	CC1=C([C@H]([C@H]2[C@@H](C1)OC(=O)C2=C)O)[C@@H](C)CCCOC(=O)C	InChI=1S/C17H24O5/c1-9(6-5-7-21-12(4)18)14-10(2)8-13-15(16(14)19)11(3)17(20)22-13/h9,13,15-16,19H,3,5-8H2,1-2,4H3/t9-,13+,15+,16+/m0/s1	QKUFZFLZBUSEHN-CZLJMHDISA-N
FIIN-2	CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4CN(C(=O)N(C4=N3)CC5=CC=C(C=C5)NC(=O)C=C)C6=CC(=CC(=C6)OC)OC	InChI=1S/C35H38N8O4/c1-5-32(44)37-26-8-6-24(7-9-26)22-43-33-25(23-42(35(43)45)29-18-30(46-3)20-31(19-29)47-4)21-36-34(39-33)38-27-10-12-28(13-11-27)41-16-14-40(2)15-17-41/h5-13,18-21H,1,14-17,22-23H2,2-4H3,(H,37,44)(H,36,38,39)	DVBPRWJMHURKHP-UHFFFAOYSA-N
kongensin A	CC(=O)O[C@@H]1CCC([C@@H]2[C@@]1(C(=O)CC[C@@H]3C=C([C@@H](C2)O)C(=O)C3=C)C)(C)C	InChI=1S/C22H30O5/c1-12-14-6-7-18(25)22(5)17(11-16(24)15(10-14)20(12)26)21(3,4)9-8-19(22)27-13(2)23/h10,14,16-17,19,24H,1,6-9,11H2,2-5H3/t14-,16-,17-,19-,22-/m1/s1	NUUWPMNNBHROPI-ASAQZKIWSA-N
ratjadone	C/C=C/[C@H]1[C@H]([C@@H](C[C@H](O1)C(/C=C/C=C(\C)/C[C@@H](C)/C=C(/C)\C=C\[C@H]2CC=CC(=O)O2)O)O)C	InChI=1S/C28H40O5/c1-6-9-26-22(5)25(30)18-27(33-26)24(29)12-7-10-19(2)16-21(4)17-20(3)14-15-23-11-8-13-28(31)32-23/h6-10,12-15,17,21-27,29-30H,11,16,18H2,1-5H3/b9-6+,12-7+,15-14+,19-10+,20-17-/t21-,22+,23-,24-,25-,26+,27+/m1/s1	CAYGMWMWJUFODP-AYFTZVAISA-N
rakicidin A	CC1C(OC(=O)C(NC(=O)CN(C(=O)/C=C\C(=C)NC1=O)C)C(C(=O)N)O)C(C)CCCCCCCCCCCC(C)C	InChI=1S/C32H54N4O7/c1-21(2)16-14-12-10-8-7-9-11-13-15-17-22(3)29-24(5)31(41)34-23(4)18-19-26(38)36(6)20-25(37)35-27(32(42)43-29)28(39)30(33)40/h18-19,21-22,24,27-29,39H,4,7-17,20H2,1-3,5-6H3,(H2,33,40)(H,34,41)(H,35,37)/b19-18-/t22-,24+,27-,28+,29-/m0/s1	NODOLTRBPIFGCQ-YPTMPGTHSA-N
PRN1371	CNC1=NC=C2C=C(C(=O)N(C2=N1)CCCN3CCN(CC3)C(=O)C=C)C4=C(C(=CC(=C4Cl)OC)OC)Cl	InChI=1S/C26H30Cl2N6O4/c1-5-20(35)33-11-9-32(10-12-33)7-6-8-34-24-16(15-30-26(29-2)31-24)13-17(25(34)36)21-22(27)18(37-3)14-19(38-4)23(21)28/h5,13-15H,1,6-12H2,2-4H3,(H,29,30,31)	PUIXMSRTTHLNKI-UHFFFAOYSA-N
NU6300	C=CS(=O)(=O)C1=CC=C(C=C1)NC2=NC3=C(C(=N2)OCC4CCCCC4)NC=N3	InChI=1S/C20H23N5O3S/c1-2-29(26,27)16-10-8-15(9-11-16)23-20-24-18-17(21-13-22-18)19(25-20)28-12-14-6-4-3-5-7-14/h2,8-11,13-14H,1,3-7,12H2,(H2,21,22,23,24,25)	KGWSQGUVJUGIPF-UHFFFAOYSA-N
4-oxo-4,5-dihydro-3H-1-thia-3,5,8-triazaacenaphthylene-2-carboxamide	CC1=C(C=CC(=C1)OC2=CC=CC=C2)N3C4=C5C(=C(SC5=NC=C4)C(=O)N[C@@H]6CCN(C6)C(=O)C=C)NC3=O	InChI=1S/C29H25N5O4S/c1-3-23(35)33-14-12-18(16-33)31-27(36)26-25-24-22(11-13-30-28(24)39-26)34(29(37)32-25)21-10-9-20(15-17(21)2)38-19-7-5-4-6-8-19/h3-11,13,15,18H,1,12,14,16H2,2H3,(H,31,36)(H,32,37)/t18-/m1/s1	VXJXHNMYRAHBBO-GOSISDBHSA-N
neolymphostin A	CC(C)C(=O)NC1=CC(=N)C2=NC=C3C2=C1NC(=C3)C(=O)/C=C/OC	InChI=1S/C18H18N4O3/c1-9(2)18(24)22-13-7-11(19)16-15-10(8-20-16)6-12(21-17(13)15)14(23)4-5-25-3/h4-9,19,21H,1-3H3,(H,22,24)/b5-4+,19-11-	AMBGZHQTMCPRDB-JOUHHVFMSA-N
CHEMBL4176277	C[C@H](CCC(=O)C=C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C3C[C@H](C(=C)[C@@H](C3)O)O)C	InChI=1S/C26H38O3/c1-5-21(27)11-8-17(2)22-12-13-23-20(7-6-14-26(22,23)4)10-9-19-15-24(28)18(3)25(29)16-19/h5,9-10,17,22-25,28-29H,1,3,6-8,11-16H2,2,4H3/b20-10+/t17-,22-,23+,24-,25-,26-/m1/s1	XVGVVMUDYCUDFM-VMKNJNNYSA-N
adagrasib	CN1CCC[C@H]1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C(=C)F	InChI=1S/C32H35ClFN7O2/c1-21(34)31(42)41-17-16-40(18-23(41)11-13-35)30-25-12-15-39(28-10-4-7-22-6-3-9-26(33)29(22)28)19-27(25)36-32(37-30)43-20-24-8-5-14-38(24)2/h3-4,6-7,9-10,23-24H,1,5,8,11-12,14-20H2,2H3/t23-,24-/m0/s1	PEMUGDMSUDYLHU-ZEQRLZLVSA-N
EG-011	C=CC(=O)N1CCCC(C1)N2C(=O)C3=C(C=CC=N3)N(C2=O)CC4=CC=C(C=C4)OC5=CC=CC=C5	InChI=1S/C28H26N4O4/c1-2-25(33)30-17-7-8-21(19-30)32-27(34)26-24(11-6-16-29-26)31(28(32)35)18-20-12-14-23(15-13-20)36-22-9-4-3-5-10-22/h2-6,9-16,21H,1,7-8,17-19H2/t21-/m1/s1	JBKILBGEQHFIOB-OAQYLSRUSA-N
Divarasib	C[C@H]1CN(CCN1C2=NC(=NC3=C(C(=C(C=C32)Cl)C4=C(C(=CC(=N4)N)C)C(F)(F)F)F)OC[C@@H]5CCCN5C)C(=O)C=C	InChI=1S/C29H32ClF4N7O2/c1-5-21(42)40-9-10-41(16(3)13-40)27-18-12-19(30)22(26-23(29(32,33)34)15(2)11-20(35)36-26)24(31)25(18)37-28(38-27)43-14-17-7-6-8-39(17)4/h5,11-12,16-17H,1,6-10,13-14H2,2-4H3,(H2,35,36)/t16-,17-/m0/s1	ZRBPIAWWRPFDPY-IRXDYDNUSA-N
RLY-4008	CC1=NC(=NC=C1)OC2=C(C=C(C=C2)C3=C(N(C4=NC=NC(=C34)N)C)C5=CC=C(C=C5)NC(=O)C(=C)C)F	InChI=1S/C28H24FN7O2/c1-15(2)27(37)35-19-8-5-17(6-9-19)24-22(23-25(30)32-14-33-26(23)36(24)4)18-7-10-21(20(29)13-18)38-28-31-12-11-16(3)34-28/h5-14H,1H2,2-4H3,(H,35,37)(H2,30,32,33)	XOQVZSSDIQQUGO-UHFFFAOYSA-N
mrtx1133	C#CC1=C(C=CC2=CC(=CC(=C21)C3=NC=C4C(=C3F)N=C(N=C4N5CC6CCC(C5)N6)OC[C@@]78CCCN7C[C@@H](C8)F)O)F	InChI=1S/C33H31F3N6O2/c1-2-23-26(35)7-4-18-10-22(43)11-24(27(18)23)29-28(36)30-25(13-37-29)31(41-15-20-5-6-21(16-41)38-20)40-32(39-30)44-17-33-8-3-9-42(33)14-19(34)12-33/h1,4,7,10-11,13,19-21,38,43H,3,5-6,8-9,12,14-17H2/t19-,20-,21+,33+/m1/s1	SCLLZBIBSFTLIN-INOGPEIASA-N
AI-1	CCOC(=O)C1=C(C2=CC=CC=C2N(C1=O)C)Cl	InChI=1S/C13H12ClNO3/c1-3-18-13(17)10-11(14)8-6-4-5-7-9(8)15(2)12(10)16/h4-7H,3H2,1-2H3	XUJQDJGGHFNYDY-UHFFFAOYSA-N
MYF-01-037	CC1(CCN(C1)C(=O)C=C)NC2=CC=CC(=C2)C(F)(F)F	InChI=1S/C15H17F3N2O/c1-3-13(21)20-8-7-14(2,10-20)19-12-6-4-5-11(9-12)15(16,17)18/h3-6,9,19H,1,7-8,10H2,2H3/t14-/m1/s1	MTBDEVWWJBIUOK-CQSZACIVSA-N
NU-1	C[C@@H]1C(=C)C(=O)[C@]([C@@H](O1)CCC2=CN(N=N2)CC3=C(C=C(C=C3)F)F)(C)C(=O)OC	InChI=1S/C21H23F2N3O4/c1-12-13(2)30-18(21(3,19(12)27)20(28)29-4)8-7-16-11-26(25-24-16)10-14-5-6-15(22)9-17(14)23/h5-6,9,11,13,18H,1,7-8,10H2,2-4H3/t13-,18+,21-/m1/s1	UZKBCLDEHDJWHW-LZHZSBQWSA-N
TP-162	CC1(C)CC[C@]([C@@]2([H])C1)(C(OC)=O)CC[C@@](C2=C3)(C)[C@]4(C)CC[C@]5([H])C(C)(C)C(C(C#N)=C[C@]5(C)[C@]4([H])C3=O)=O	InChI=1S/C32H43NO4/c1-27(2)11-13-32(26(36)37-8)14-12-30(6)20(21(32)17-27)15-22(34)24-29(5)16-19(18-33)25(35)28(3,4)23(29)9-10-31(24,30)7/h15-16,21,23-24H,9-14,17H2,1-8H3/t21-,23+,24-,29-,30+,31+,32-/m0/s1	RWYUFFSYQKUPHX-VPILXRGGSA-N
TP-191	CC1(C)CC[C@]2(C(O)=O)CC[C@@](C3[C@]2([H])C1)(C)[C@]4(C)CC[C@]5([H])C(C)(C)C(C(C(O)=O)=C[C@]5(C)C4=CC3=O)=O	InChI=1S/C31H42O6/c1-26(2)10-12-31(25(36)37)13-11-30(7)22(18(31)16-26)19(32)14-21-28(5)15-17(24(34)35)23(33)27(3,4)20(28)8-9-29(21,30)6/h14-15,18,20,22H,8-13,16H2,1-7H3,(H,34,35)(H,36,37)/t18-,20+,22+,28-,29+,30+,31-/m0/s1	OFDIKOOMKZNYSX-ICGAVHQRSA-N
TP-223	C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)N	InChI=1S/C31H42N2O3/c1-26(2)10-12-31(25(33)36)13-11-30(7)23(19(31)16-26)20(34)14-22-28(5)15-18(17-32)24(35)27(3,4)21(28)8-9-29(22,30)6/h14-15,19,21,23H,8-13,16H2,1-7H3,(H2,33,36)/t19-,21-,23-,28-,29+,30+,31-/m0/s1	JPNPFOBFOUTUHR-UQMAOPSPSA-N
TP-226	C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)N(C)C	InChI=1S/C33H46N2O3/c1-28(2)12-14-33(27(38)35(8)9)15-13-32(7)25(21(33)18-28)22(36)16-24-30(5)17-20(19-34)26(37)29(3,4)23(30)10-11-31(24,32)6/h16-17,21,23,25H,10-15,18H2,1-9H3/t21-,23-,25-,30-,31+,32+,33-/m0/s1	YPQNGKZSKASBRT-YKEYHJQHSA-N
TP-233	CCCCCCCCOC(=O)[C@@]12CC[C@@]3([C@@H]([C@@H]1CC(CC2)(C)C)C(=O)C=C4[C@]3(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)C	InChI=1S/C39H57NO4/c1-9-10-11-12-13-14-21-44-33(43)39-19-17-34(2,3)24-27(39)31-28(41)22-30-36(6)23-26(25-40)32(42)35(4,5)29(36)15-16-37(30,7)38(31,8)18-20-39/h22-23,27,29,31H,9-21,24H2,1-8H3/t27-,29-,31-,36-,37+,38+,39-/m0/s1	UIDXLKPLCURKOM-SYLLQPAVSA-N
TP-255	CC1(C)CC[C@]2(C#N)CC[C@@]([C@@]3([H])[C@]2([H])C1)(C)[C@]4(C)CCC5C(C)(C)C(C(C#N)=C[C@]5(C)C4=CC3=O)=O	InChI=1S/C31H40N2O2/c1-26(2)10-12-31(18-33)13-11-30(7)24(20(31)16-26)21(34)14-23-28(5)15-19(17-32)25(35)27(3,4)22(28)8-9-29(23,30)6/h14-15,20,22,24H,8-13,16H2,1-7H3/t20-,22+,24-,28-,29+,30+,31+/m0/s1	VKTPMWHWKXESHY-CYIKQSDFSA-N
TP-46	CC1(C)CC[C@]2(C(OC)=O)CC[C@@]3(C)[C@]4(C)CC[C@]5([H])C(C)(C)C(C=C[C@]5(C)[C@]4([H])CC=C3[C@]2([H])C1)=O	InChI=1S/C31H46O3/c1-26(2)15-17-31(25(33)34-8)18-16-29(6)20(21(31)19-26)9-10-23-28(5)13-12-24(32)27(3,4)22(28)11-14-30(23,29)7/h9,12-13,21-23H,10-11,14-19H2,1-8H3/t21-,22+,23-,28-,29+,30+,31-/m0/s1	KBMLCSZYTYWMKS-PWGQJFPFSA-N
TP-82	C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=CC(=O)C5(C)C)C)C)(C)C)C(=O)O	InChI=1S/C30H42O4/c1-25(2)12-14-30(24(33)34)15-13-29(7)23(18(30)17-25)19(31)16-21-27(5)10-9-22(32)26(3,4)20(27)8-11-28(21,29)6/h9-10,16,18,20,23H,8,11-15,17H2,1-7H3,(H,33,34)/t18-,20-,23-,27-,28+,29+,30-/m0/s1	FQENJHAAXSFPAJ-WKQZTKKJSA-N
TP-82	CC1(C)CC[C@]2(C(O)=O)CC[C@@]3(C)[C@]4(C)CC[C@]5([H])C(C)(C)C(C=C[C@]5(C)[C@]4([H])CC=C3[C@]2([H])C1)=O	InChI=1S/C30H44O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,11-12,20-22H,9-10,13-18H2,1-7H3,(H,32,33)/t20-,21+,22-,27-,28+,29+,30-/m0/s1	XUFKJBCNDZKPJY-IKVQYROWSA-N
UT-143	C[C@](CN1C=C(C=N1)C#N)(C(=O)NC2=CC(=C(N=C2)C#N)C(F)(F)F)OCC(=C)C(=O)OC	InChI=1S/C20H17F3N6O4/c1-12(17(30)32-3)10-33-19(2,11-29-9-13(5-24)7-27-29)18(31)28-14-4-15(20(21,22)23)16(6-25)26-8-14/h4,7-9H,1,10-11H2,2-3H3,(H,28,31)/t19-/m0/s1	PGSBKMRTKDTLSD-IBGZPJMESA-N
None	O=C(C(Br)=C1)N(CC(N)=O)C1=C	InChI=1S/C7H7BrN2O2/c1-4-2-5(8)7(12)10(4)3-6(9)11/h2H,1,3H2,(H2,9,11)	PEWMPDOXHZWCDU-UHFFFAOYSA-N
None	O=C(C(Br)=C1)N(C2=CC=C(Br)C=C2)C1=C	InChI=1S/C11H7Br2NO/c1-7-6-10(13)11(15)14(7)9-4-2-8(12)3-5-9/h2-6H,1H2	YWURBQMDZJOCGS-UHFFFAOYSA-N
None	C=CC(=O)NC1=CC=CC=N1	InChI=1S/C8H8N2O/c1-2-8(11)10-7-5-3-4-6-9-7/h2-6H,1H2,(H,9,10,11)	ZUKUBTGXSHTDHA-UHFFFAOYSA-N
None	C=CC(NC1=CC=CC(C#N)=C1)=O	InChI=1S/C10H8N2O/c1-2-10(13)12-9-5-3-4-8(6-9)7-11/h2-6H,1H2,(H,12,13)	HEYMCPCNRNNCPM-UHFFFAOYSA-N
None	O=C(C=C)OC1=CC=CC=C1	InChI=1S/C9H8O2/c1-2-9(10)11-8-6-4-3-5-7-8/h2-7H,1H2	WRAQQYDMVSCOTE-UHFFFAOYSA-N
None	CCN(CC)CC(C)(C)C(=O)C=CC1=CC=C(C=C1)Cl	InChI=1S/C17H24ClNO/c1-5-19(6-2)13-17(3,4)16(20)12-9-14-7-10-15(18)11-8-14/h7-12H,5-6,13H2,1-4H3/b12-9+	DZSMSQZYFGGZDN-FMIVXFBMSA-N
